name,price,socket,form_factor,max_memory,memory_slots,color
MSI MPG Z590 GAMING PLUS,249,LGA1200,ATX,128,4,Black
MSI PRO-H610M-E-DDR4,,LGA1700,Micro ATX,64,2,Black
ASRock Z790M-ITX WIFI,229.99,LGA1700,Mini ITX,96,2,Black
Asus H110M-K,189.99,LGA1151,Micro ATX,32,2,Black / Gold
MSI MAG B550M MORTAR MAX WIFI,169.99,AM4,Micro ATX,128,4,Silver / Black
Asus ROG STRIX X570-E GAMING WIFI II,,AM4,ATX,128,4,Black
Asus PRIME Z690-A,213.85,LGA1700,ATX,192,4,Silver / Black
Gigabyte B450M DS3H V2,104.41,AM4,Micro ATX,128,4,Black
Gigabyte B450 AORUS PRO WIFI (rev. 1.0),232.26,AM4,ATX,64,4,Black / Silver
Asus PRIME B450M-A,219,AM4,Micro ATX,64,4,Black
Asus PRIME Z790M-PLUS,194.99,LGA1700,Micro ATX,192,4,Silver / Black
ASRock X570 Phantom Gaming-ITX/TB3,241.84,AM4,Mini ITX,64,2,Black / Silver
Gigabyte Z790I AORUS ULTRA,309.99,LGA1700,Mini ITX,96,2,Silver / Black
Asus PRIME B760M-A,124.99,LGA1700,Micro ATX,128,4,Silver / Black
Asus TUF GAMING B760-PLUS WIFI D4,255.69,LGA1700,ATX,192,4,Black / Orange
ASRock Z790 Pro RS,179.99,LGA1700,ATX,192,4,Silver / Black
MSI MPG X570 GAMING EDGE WIFI,349,AM4,ATX,128,4,Black / Silver
MSI MPG Z490 GAMING EDGE WIFI,,LGA1200,ATX,128,4,Black / Silver
Gigabyte Z790 AORUS MASTER X,449.99,LGA1700,EATX,192,4,Black
Asus ROG STRIX Z590-E GAMING WIFI,313.11,LGA1200,ATX,128,4,Black
Gigabyte A620M S2H,79.98,AM5,Micro ATX,96,2,Gray / Black
Gigabyte Z790 AORUS MASTER,435.68,LGA1700,EATX,192,4,Black / Silver
ASRock Z790 Nova WiFi,329.99,LGA1700,ATX,192,4,Black
Gigabyte B450 AORUS ELITE V2,129.19,AM4,ATX,128,4,Black
ASRock X570 Steel Legend WiFi ax,139.99,AM4,ATX,128,4,Black / Silver
Gigabyte Z790 D DDR4,159.99,LGA1700,ATX,128,4,Black
ASRock B650E PG-ITX WIFI,289.99,AM5,Mini ITX,96,2,Black / Red
Asus ROG STRIX Z790-A GAMING WIFI,329,LGA1700,ATX,192,4,Silver / Black
Asus TUF GAMING X570-PRO WIFI II,,AM4,ATX,128,4,Black
MSI MEG Z790 ACE MAX,699.99,LGA1700,EATX,192,4,Black
Asus PRIME B760-PLUS D4,231.13,LGA1700,ATX,128,4,Silver / Black
ASRock B760M-ITX/D4 WiFi,148.99,LGA1700,Mini ITX,64,2,Silver / Black
MSI Z790 GAMING PLUS WIFI,,LGA1700,ATX,192,4,Black
ASRock Z790 Riptide WiFi,229.99,LGA1700,ATX,192,4,Black
ASRock B365M-HDV,148.99,LGA1151,Micro ATX,32,2,Black / Silver
Asus TUF GAMING B550M-E WIFI,,AM4,Micro ATX,128,4,Orange / Black
Asus ROG STRIX B660-A GAMING WIFI D4,219,LGA1700,ATX,128,4,Silver / Black
Asus TUF GAMING B650-PLUS,,AM5,ATX,128,4,Black / Orange
Asus PRIME X570-PRO,,AM4,ATX,128,4,Black / White
MSI MEG Z690 ACE,288.76,LGA1700,EATX,192,4,Black / Gold
Gigabyte GA-A320M-S2H,129.94,AM4,Micro ATX,64,2,Black
Gigabyte A520M K V2,82.51,AM4,Micro ATX,64,2,Brown / Black
Gigabyte TRX40 AORUS MASTER,,sTRX4,EATX,256,8,Black / Silver
MSI A320M-A PRO MAX,169.99,AM4,Micro ATX,32,2,Black
ASRock Z690 Phantom Gaming 4/D5,149,LGA1700,ATX,192,4,Black / Silver
ASRock B650E Taichi Lite,279.99,AM5,EATX,192,4,Black / Gray
MSI B560M PRO-E,,LGA1200,Micro ATX,64,2,Black
Gigabyte A520 AORUS ELITE,122.62,AM4,ATX,128,4,Black / Orange
MSI A320M-A PRO,,AM4,Micro ATX,64,2,Black
Asus ROG STRIX B550-F GAMING (WI-FI),398,AM4,ATX,128,4,Black
Asus ROG STRIX Z390-E GAMING,,LGA1151,ATX,128,4,Black
Asus PRIME H610M-K D4,121.07,LGA1700,Micro ATX,64,2,Silver / Black
Asus TUF GAMING B550M-PLUS,177.5,AM4,Micro ATX,128,4,Black
ASRock X670E Pro RS,249.99,AM5,ATX,192,4,Black
